Foundation URI,Linearization (release) URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,PrimaryLocation,ChapterNo,BrowserLink,iCatLink,isLeaf,noOfNonResidualChildren,Version:2025 Oct 06 - 22:30 UTC
http://id.who.int/icd/entity/1095453911,http://id.who.int/icd/release/11/beta/icf/1095453911,b1302,,- - - - - Appetite,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1449338903,http://id.who.int/icd/release/11/beta/icf/1449338903,b1303,,- - - - - Craving,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/867833431,http://id.who.int/icd/release/11/beta/icf/867833431,b1304,,- - - - - Impulse control,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/723665457/other,b1308,,- - - - - Other specified energy and drive functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/723665457/unspecified,b1309,,"- - - - - Energy and drive functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/2122861806,http://id.who.int/icd/release/11/beta/icf/2122861806,b134,,- - - - Sleep functions,category,1,False,True,,browser,iCat,False,5,
http://id.who.int/icd/entity/102570762,http://id.who.int/icd/release/11/beta/icf/102570762,b1340,,- - - - - Amount of sleep,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/288718794,http://id.who.int/icd/release/11/beta/icf/288718794,b1341,,- - - - - Onset of sleep,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/676188810,http://id.who.int/icd/release/11/beta/icf/676188810,b1342,,- - - - - Maintenance of sleep,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1063630410,http://id.who.int/icd/release/11/beta/icf/1063630410,b1343,,- - - - - Quality of sleep,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1522305034,http://id.who.int/icd/release/11/beta/icf/1522305034,b1344,,- - - - - Functions involving the sleep cycle,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/2122861806/other,b1348,,- - - - - Other specified sleep functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/2122861806/unspecified,b1349,,"- - - - - Sleep functions, unspecified",category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/882590883/unspecified,b139,,"- - - - Global mental functions, other specified and unspecified",category,1,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/134464731,http://id.who.int/icd/release/11/beta/icf/134464731,,BlockL3-b14,- - - Specific mental functions,block,3,False,True,,browser,iCat,False,11,
http://id.who.int/icd/entity/1709276036,http://id.who.int/icd/release/11/beta/icf/1709276036,b140,,- - - - Attention functions,category,1,False,True,,browser,iCat,False,4,
http://id.who.int/icd/entity/1210515855,http://id.who.int/icd/release/11/beta/icf/1210515855,b1400,,- - - - - Sustaining attention,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1594844495,http://id.who.int/icd/release/11/beta/icf/1594844495,b1401,,- - - - - Shifting attention,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1719126031,http://id.who.int/icd/release/11/beta/icf/1719126031,b1402,,- - - - - Dividing attention,category,2,False,True,,browser,iCat,True,0,
